Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
ethena-alcohool-free-deodorant-spray-200ml-pack-of-1-cvgh326ikj45u7o54c90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0631/4590/2139/files/1742621549807-52.jpg?v=1780816864,3,"",,,,,,,,
ethena-alcohool-free-deodorant-spray-200ml-pack-of-1-cvgh326ikj45u7o54c90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0631/4590/2139/files/1742621651024-52.jpg?v=1780816864,4,"",,,,,,,,
amir-premium-deodorant-no-alcohol-200-ml-pack-of-3-cvgh31uikj45u7o54bgg,AMIR PREMIUM DEODORANT No Alcohol 200 Ml (Pack of 3),"<p>Fragrance Industry. It was established five decades back on 20th Sep 1969 and has been actively in operation since then. The founder, Late Shri Mohan Bhai Patel, had been closely involved in its manufacturing activities. Arochem was unique in the state of Madhya Pradesh at the times of establishment. The Quality of perfumery products in course of time gradually gained fame in the market solely depending on the Quality factor which remained constant even when the market varied from time to time in various aspects</p>
",6255,,Perfumes,"",true,color,3 Pcs,,size,3 Pcs,,,,,DS097340,0.0,shopify,deny,manual,1299.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0631/4590/2139/files/1742621807071-3.jpg?v=1780816851,1,"",false,,,,kg,,600.00,active
amir-premium-deodorant-no-alcohol-200-ml-pack-of-3-cvgh31uikj45u7o54bgg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0631/4590/2139/files/1742621347853-3.jpg?v=1780816850,2,"",,,,,,,,
amir-premium-deodorant-no-alcohol-200-ml-pack-of-3-cvgh31uikj45u7o54bgg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0631/4590/2139/files/1742621550495-3.jpg?v=1780816851,3,"",,,,,,,,
amir-premium-deodorant-no-alcohol-200-ml-pack-of-3-cvgh31uikj45u7o54bgg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0631/4590/2139/files/1742621651476-3.jpg?v=1780816851,4,"",,,,,,,,
ice-blue-alcohool-free-deodorant-spray-200ml-pack-of-3-cvgh326ikj45u7o54cj0,Ice Blue Alcohool Free DeoDorant Spray 200ml (Pack of 3),"<p>A fragrance that reminds you of the marine life that is fresh and calm. Combining all the aspects of the aforesaid, Ice Blue opens with a mesmerizing whiff reminiscent of a sunny beach in Miami.</p>
",6255,,Perfumes,"",true,color,3 Pcs,,size,3 Pcs,,,,,DS097409,0.0,shopify,deny,manual,1049.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0631/4590/2139/files/1742621805710-72.jpg?v=1780816839,1,"",false,,,,kg,,549.00,active
ice-blue-alcohool-free-deodorant-spray-200ml-pack-of-3-cvgh326ikj45u7o54cj0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0631/4590/2139/files/1742621346654-72.jpg?v=1780816838,2,"",,,,,,,,
ice-blue-alcohool-free-deodorant-spray-200ml-pack-of-3-cvgh326ikj45u7o54cj0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0631/4590/2139/files/1742621549533-72.jpg?v=1780816838,3,"",,,,,,,,
ice-blue-alcohool-free-deodorant-spray-200ml-pack-of-3-cvgh326ikj45u7o54cj0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0631/4590/2139/files/1742621650812-72.jpg?v=1780816838,4,"",,,,,,,,
